Video ID,Published Date,Title,View Count,Like Count,Comment Count,Channel Title,Subscriber Count
ryX5UrYHx_0,2025-01-01T00:35:23Z,Off The Grid| HOT GAME GUIDE | GAMEOUT GAMING,15,3,0,GAMEOUT GAMING,0
0H5tKZEwDg8,2024-12-30T20:25:30Z,Off The Grid Daily Dubs,12,0,0,BRISCO BANKS!,0
MnSgA9x4ark,2024-12-30T17:31:41Z,🌌 Off The Grid LIVE! 🛡️ Tactical Survival & Cyberpunk Action Awaits! 🚀,3,0,0,Krishnareddy D,0
XxCSC5EMjHw,2025-01-01T17:03:22Z,Off The Grid Battle Royale,2,0,0,Tariworio Samuel Dick (Worio_san),0
pssArcu__Ho,2024-12-30T21:06:16Z,Off The Grid Daily Dubs,13,0,0,BRISCO BANKS!,0
yC4BB1n8sjQ,2025-01-01T02:57:52Z,OFF THE GRID [PS5] CASUAL,11,1,0,Pilot#32 ,0
rlH2Lvh9wz8,2025-01-01T13:27:22Z,"🚀 Off the Grid New Year's Eve Showdown | Meta Loadouts, Tactical Mastery & NFT Loot Hunt 🎮💰",38,2,2,BoloBravoSierra,0
cZhPtyb_ESE,2024-12-31T22:53:07Z,🌌 Off The Grid LIVE! 🛡️ Tactical Survival & Cyberpunk Action Awaits! 🚀,0,0,0,Krishnareddy D,0
epZRCws4QuM,2024-12-31T07:30:03Z,Top NA East player on off the grid,26,3,0,YTFAKE_XD69,0
3HA0C1ULur8,2024-12-30T02:29:11Z,🌌 Off The Grid LIVE! 🛡️ Tactical Survival & Cyberpunk Action Awaits! 🚀,0,0,0,Krishnareddy D,0
xeWdx3yjb5g,2025-01-01T15:57:06Z,Off the grid my online match gameplay,6,0,0,Brian Mondesir ,0
DROnc-zbj_8,2025-01-01T14:30:15Z,OFF THE GRID Early Access Gameplay | Most Insane UNREAL ENGINE 5 GRAPHICS in a Free Cyberpunk Game,7,3,0,ARCHID GAMERZ,0
48S6l93uQFs,2024-12-30T21:46:56Z,Off The Grid Daily Dubs,27,0,0,BRISCO BANKS!,0
xFYKVDlHaYs,2024-12-31T01:47:33Z,Off The Grid can be fun.,23,2,0,BootyIntruder,0
t6NFAWIqb_c,2024-12-29T18:43:16Z,Off The Grid,1,0,0,Hodby Hive,0
Z3qFSN_MTK0,2024-12-30T11:51:47Z,OFF THE GRID,1,0,0,Crypt0k1ng96,0
wY9C1CJYGP0,2024-12-31T12:41:00Z,Off the Grid,4,1,0,Wacky weed813,0
hB4xNj5drYw,2025-01-01T01:55:43Z,Off The Grid sick shot,3,1,0,Its BatManNevaWipes,0
dzyd8n5M__o,2024-12-30T16:00:12Z,Off The Grid - The Flenser,28,0,0,ReezzieTTV,0
WhaXUepz-bs,2025-01-01T15:20:21Z,OFF THE GRID \ 🔥 Game play only 😁 / New yeara eve,0,0,0,Hodby Hive,0
VTJM4YL2Na8,2024-12-31T01:45:22Z,"Off The Grid: No Deaths, Win.",4,1,0,USNDrunkenSailor,0
aZIBdSa1WqY,2024-12-30T15:35:19Z,Goin Off The Grid! - Please follow and tip to help support - #seshngang 💨,5,2,0,SeshnGang,0
9iFhnHd7m3U,2025-01-01T06:51:52Z,Off the Grid Gameplay: Experience the Wild Side of Extraction Royale! Happy New Year! #newyear,11,1,0,WEB4000,0
Ns7dsMqMtfk,2024-12-31T06:22:11Z,Win na Gringa solo linda Off The Grid,0,0,0,TonerickBR,0
eWn0COuq_tk,2024-12-30T21:28:51Z,Off The Grid Daily Dubs,29,2,0,BRISCO BANKS!,0
9qB3LFB1-0Y,2024-12-30T08:24:04Z,Off the grid game cTa 1Vision,9,1,0,1Vision,0
CQ-WNO578ec,2024-12-30T23:25:47Z,🐀LIVE: Hidden Cyberpunk Strategies & Epic Off The Grid Battles – Watch Now Before It’s Gone!,11,2,0,Raúl Rolón,0
6lXAP0O1zxE,2025-01-01T06:42:11Z,Off The Grid: Great Teamwork From Randoms,3,1,0,USNDrunkenSailor,0
6_JAEDVjAEM,2024-12-31T08:58:05Z,Off The Grid Clash 4 Cash Tournament Top 1%,6,0,0,Topcat,0
